Statistics Summary
------------------
Scaling Factor: 0.10600
Time Step: 10.00
Distance ignored from end (microns): 0.00
Dominant Frequency (Hz): 0.00833

Mean Length, Median Length, Std Length, Min Length, Max Length
7.28, 7.21, 0.37, 6.39, 7.91
Frame, Length (micron), Tip Angle, Tip Angle (smooth), EndToEndDistance (micron)
1, 7.882, -44.902, -33.072, 3.068
2, 6.946, -3.036, -32.914, 1.959
3, 6.390, -54.618, -34.849, 1.540
4, 6.760, -45.207, -38.878, 1.735
5, 7.502, -28.728, -49.429, 2.109
6, 7.545, -66.107, -51.976, 1.579
7, 7.794, -58.857, -81.278, 1.745
8, 7.564, -82.661, -71.040, 1.720
9, 7.458, -85.564, -31.582, 1.952
10, 7.008, 74.879, 31.320, 1.671
11, 7.907, 65.225, 60.182, 1.137
12, 6.964, 84.444, 43.785, 0.952
13, 7.308, -66.267, -19.321, 1.455
14, 6.990, -70.742, -63.160, 1.789
15, 6.902, -75.549, -87.869, 1.792
16, 7.121, -78.321, -72.160, 1.988
17, 7.545, -65.912, -89.725, 2.435
18, 7.202, -71.699, -54.126, 2.645
19, 7.220, -88.217, -32.708, 2.938
20, 7.114, 86.453, -20.800, 2.992
21, 7.608, -57.268, -8.603, 3.536
22, 7.801, -27.517, -6.067, 3.933
23, 7.333, 1.620, -22.582, 3.591
24, 7.140, 8.507, 15.542, 3.466
25, 6.928, 31.109, 35.139, 3.313
26, 7.052, 60.063, 69.593, 3.182
27, 6.938, 70.853, 63.790, 3.130
28, 6.982, 81.857, 14.378, 3.034
29, 7.008, -80.693, -18.667, 3.095
30, 6.920, -78.939, -28.452, 3.068
31, 7.044, 46.585, -14.206, 3.418
32, 7.618, 38.426, 31.329, 3.651
33, 7.757, 29.707, 50.324, 3.373
34, 7.882, 32.340, 50.574, 3.056
35, 7.370, 45.205, 34.076, 2.061
36, 7.582, 4.490, 0.832, 2.084
